TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
3570527,2.35268,2.3051,26
3571527,2.3436,2.28943,26
3572527,2.32454,2.28062,26
3573527,2.31169,2.26245,25
3574527,2.29819,2.24938,25
3575527,2.29059,2.2354,25
3576527,2.2764,2.22605,26
3577527,2.27208,2.21246,25
3578528,2.26927,2.20806,26.026
3579528,2.26738,2.20727,26
3580528,2.27284,2.20507,26
3581528,2.26958,2.20514,26
3582528,2.27226,2.20607,26
3583528,2.26354,2.20658,26
3584528,2.26569,2.20441,25
3585528,2.26801,2.20563,25
3586528,2.27258,2.20765,25
3587528,2.26998,2.20669,25
3588528,2.26667,2.2043,25
3589528,2.27513,2.20294,25
3590528,2.28548,2.20178,26
3591528,2.27363,2.20409,26
3592528,2.26631,2.20532,26
3593528,2.27273,2.20705,27
3594528,2.2734,2.21037,27
3595528,2.2782,2.21236,27
3596528,2.29283,2.21917,27
3597528,2.30365,2.23144,27
3598528,2.31933,2.24593,27
3599528,2.34079,2.26364,27
3600528,2.35332,2.28589,26
3601528,2.36448,2.29639,26
3602528,2.3681,2.30412,25
3603528,2.3857,2.3126,25
3604528,2.38619,2.33098,24
3605528,2.394,2.32771,24
3606528,2.40389,2.33595,23
3607528,2.41808,2.34805,23
3608528,2.43093,2.36058,23
3609528,2.43107,2.37129,23
3610528,2.44168,2.37344,22
3611528,2.44999,2.3829,22
3612528,2.44517,2.38875,23
3613528,2.43905,2.38354,23
3614528,2.43935,2.37685,24
3615528,2.44478,2.37762,24
3616528,2.44784,2.38296,25
3617528,2.44128,2.38612,25
3618528,2.44496,2.38281,26
3619528,2.44511,2.38114,27
3620528,2.44621,2.38223,27
3621528,2.44453,2.38316,27
3622528,2.44534,2.38188,28
3623528,2.4458,2.38119,27
3624528,2.43941,2.38156,27
3625528,2.43266,2.3774,26
3626528,2.42757,2.37183,26
3627528,2.40693,2.36306,25
3628528,2.39125,2.34198,24
3629528,2.36018,2.32303,24
3630528,2.33434,2.29744,24
3631528,2.31194,2.27285,23
3632528,2.29047,2.25025,23
3633528,2.2638,2.22663,22
3634528,2.23264,2.20174,22
3635528,2.20339,2.17097,22
3636528,2.1674,2.13954,22
3637528,2.12773,2.10602,22
3638528,2.08709,2.06375,22
3639528,2.0569,2.02562,22
3640528,2.03188,1.99473,22
3641528,2.0159,1.97537,22
3642528,1.989,1.95367,23
3643528,1.96401,1.92742,23
3644528,1.93215,1.90201,23
3645528,1.89527,1.86496,24
3646528,1.88493,1.83279,25
3647528,1.87896,1.82618,25
3648528,1.87912,1.81949,26
3649528,1.8678,1.81682,26
3650528,1.86738,1.81199,27
3651528,1.87258,1.81038,28
3652528,1.87319,1.81708,28
3653528,1.86932,1.81691,29
3654528,1.86633,1.81298,29
3655528,1.86688,1.80945,29
3656528,1.86942,1.81085,29
3657528,1.86489,1.80988,28
3658528,1.86819,1.80804,27
3659528,1.86955,1.81086,26
3660528,1.86978,1.81175,26
3661528,1.86587,1.81023,25
3662528,1.85798,1.80533,25
3663528,1.85395,1.8019,25
3664528,1.85112,1.79555,24
3665529,1.87367,1.80257,24.024
3666529,1.88447,1.82017,23
3667529,1.89285,1.82511,23
3668529,1.91017,1.8429,23
3669529,1.93789,1.86027,23
3670529,1.92981,1.87517,23
3671529,1.93884,1.87583,23
3672529,1.95434,1.88397,23
3673529,1.97248,1.89851,23
3674529,2.00392,1.92247,23
3675529,2.02873,1.95291,23
3676529,2.03148,1.97632,23
3677529,2.0386,1.97486,23
3678529,2.05879,1.98764,24
3679529,2.06858,2.00131,24
3680529,2.06566,2.00972,25
3681529,2.0773,2.01299,25
3682529,2.07589,2.01812,25
3683529,2.06274,2.01468,25
3684529,2.05913,2.00887,24
3685529,2.04894,2.00161,24
3686529,2.03843,1.9926,24
3687529,2.03002,1.98013,24
3688529,2.01019,1.96646,24
3689529,1.99123,1.94776,24
3690529,1.97997,1.93247,24
3691529,1.96981,1.91956,24
3692529,1.95973,1.91141,24
3693529,1.9453,1.90186,24
3694529,1.9166,1.88488,24
3695529,1.88294,1.85447,24
3696529,1.8543,1.82397,24
3697529,1.82431,1.79247,24
3698529,1.80238,1.76416,24
3699529,1.7738,1.73982,24
3700529,1.74727,1.71506,25
3701529,1.71497,1.68366,25
3702529,1.69257,1.65595,26
3703529,1.67586,1.63582,26
3704529,1.66173,1.61704,27
3705529,1.64992,1.60336,28
3706529,1.63723,1.58852,28
3707529,1.62567,1.57857,29
3708529,1.6218,1.56963,29
3709529,1.61644,1.56644,29
3710529,1.61336,1.5617,29
3711529,1.6123,1.55973,29
3712529,1.61201,1.56066,29
3713529,1.60664,1.55956,29
3714529,1.60544,1.55624,29
3715529,1.59737,1.55561,29
3716529,1.58009,1.54563,28
3717529,1.55818,1.52962,28
3718529,1.52517,1.50629,27
3719529,1.48858,1.47296,27
3720529,1.44593,1.43676,26
3721529,1.39882,1.39363,26
3722529,1.34784,1.3445,25
3723529,1.29657,1.2936,25
3724529,1.25253,1.24407,25
3725529,1.2086,1.20167,24
3726529,1.17332,1.15977,24
3727529,1.14116,1.1237,24
3728529,1.10511,1.08989,25
3729529,1.06043,1.05159,25
3730529,1.02115,1.00884,26
3731529,0.992976,0.974406,27
3732529,0.952844,0.940626,27
3733529,0.911215,0.899908,28
3734529,0.864116,0.861461,28
3735529,0.825291,0.815368,29
3736529,0.791172,0.770809,29
3737529,0.763811,0.739619,30
3738529,0.769591,0.729333,30
3739529,0.77854,0.732901,31
3740529,0.765024,0.726948,30
3741529,0.764307,0.709162,28
3742529,0.766945,0.724783,28
3743529,0.779928,0.728607,28
3744529,0.777817,0.734772,27
3745529,0.777253,0.734211,28
3746529,0.776282,0.731747,28
3747529,0.772717,0.735735,28
3748529,0.754858,0.721882,29
3749529,0.752429,0.706839,29
3750529,0.755412,0.710298,29
3751529,0.753967,0.710579,29
3752530,0.761355,0.710761,29.029
3753530,0.770187,0.718228,28
3754530,0.766638,0.724216,28
3755530,0.768943,0.722014,28
3756530,0.772324,0.725399,27
3757530,0.766208,0.726177,27
3758530,0.765248,0.719722,27
3759530,0.768633,0.719414,27
3760530,0.764357,0.720885,26
3761530,0.762227,0.718111,27
3762530,0.76405,0.71709,27
3763530,0.764252,0.717893,27
3764530,0.763889,0.717738,28
3765530,0.765151,0.718441,28
3766530,0.766337,0.719595,27
3767530,0.765743,0.72049,27
3768530,0.763208,0.719718,27
3769530,0.764489,0.717502,27
3770530,0.763611,0.717935,28
3771530,0.764615,0.716581,28
3772530,0.765879,0.718628,28
3773530,0.763403,0.718489,28
3774530,0.757804,0.716296,27
3775530,0.769662,0.709135,24
3776530,0.757948,0.717324,22
3777530,0.752958,0.70672,20
3778530,0.750932,0.700927,18
3779530,0.760941,0.703256,16
3780530,0.767966,0.715735,16
3781530,0.766074,0.718395,15
3782530,0.761469,0.71521,14
3783530,0.760756,0.711949,13
3784530,0.762851,0.710862,12
3785530,0.77431,0.712985,10
3786530,0.805734,0.729903,9
3787530,0.822992,0.759841,8
3788530,0.825453,0.778111,7
3789530,0.825126,0.784117,7
3790530,0.808421,0.778554,6
3791530,0.777529,0.764505,6
3792530,0.694281,0.726036,6
